,Label,TOTAL_SCORE,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,Molecule,Conformation
41,52944903,-87.7046,-27.0725,-0.187575,14,01
38,52944904,-86.5886,-26.4711,-0.17942,13,01
366,ZINC000101361998,-86.0534,-28.0093,-0.21331,123,01
34,52948856,-83.3433,-25.2408,-0.168159,12,01
387,ZINC000106382957,-76.3095,-26.833000000000002,-0.234573,130,01
234,122253,-76.0076,-27.1258,-0.24414,79,01
240,112106,-74.3444,-25.4254,-0.21402800000000002,81,01
232,127132,-74.293,-24.7643,-0.19081099999999998,78,01
394,ZINC000106384102,-73.6631,-26.2891,-0.236609,132,01
305,ZINC000013545464,-73.5452,-26.6572,-0.247375,102,01
