,Label,Molecule,TOTAL,INTER,INTRA,RESTR,VDW
5693,52944904,13,-26.324,-17.004,-11.664000000000001,0.465,-24.064
19350,6420074,44,-25.427,-21.44,-6.034,0.272,-14.959000000000001
2389,76325328,6,-25.38,-17.628,-10.209,0.0,-19.503
40617,24154,91,-25.366999999999997,-27.64,-1.338,0.0,-13.755
26322,445621,59,-25.299,-23.026,-5.455,0.02,-11.620999999999999
54368,ZINC000101136391,121,-25.127,-24.386,-2.895,0.297,-19.366
24660,449462,55,-24.086,-20.132,-5.718,0.001,-12.96
1271,118707521,3,-23.625,-23.95,-2.076,0.0,-24.811
29876,439213,67,-23.381,-18.557000000000002,-6.586,0.016,-11.469000000000001
51642,ZINC000082114392,115,-23.205,-19.713,-6.185,0.285,-11.735999999999999
