,Label,Molecule,Affinity
1883,52944903,14,-8.58308315
1596,52948856,12,-8.38632774
1733,52944904,13,-8.19564533
268,118707521,3,-7.72736835
707,76325328,6,-7.64395237
3559,44341508,25,-7.34930515
12953,29327,90,-7.32025146
7486,2733787,52,-7.09280872
7636,2733335,53,-6.83554792
11548,118328,80,-6.81019354
5177,12600646,36,-6.79413795
5859,7067772,41,-6.77473068
14163,ZINC000003956714,98,-6.77365971
0,134695375,1,-6.58706856
11648,112106,81,-6.52769709
4097,25243963,29,-6.49150276
12671,82313,88,-6.44419718
6806,5284365,48,-6.42108727
17293,ZINC000101073479,119,-6.38811731
4333,24847493,31,-6.35402298
