,Label,Molecule,affinity_(kcal/mol),rmsd_lb,rmsd_ub
81,118707521,3,-8.1,3.502,5.533
200,76325328,6,-8.0,0.0,0.0
5528,ZINC000257347638,139,-7.9,0.0,0.0
539,52944903,14,-7.8,0.0,0.0
440,52948856,12,-7.6,0.0,0.0
3174,118328,80,-7.5,0.0,0.0
4888,ZINC000101361998,123,-7.5,0.0,0.0
500,52944904,13,-7.4,0.0,0.0
3551,29327,90,-7.3,0.0,0.0
2054,2733787,52,-7.2,0.0,0.0
839,45266822,22,-7.0,0.0,0.0
4508,ZINC000077269504,114,-7.0,0.0,0.0
1119,25243963,29,-7.0,0.0,0.0
4589,ZINC000100342293,116,-6.9,0.03,1.057
4768,ZINC000101135603,120,-6.9,0.0,0.0
799,45357367,21,-6.9,0.0,0.0
4448,ZINC000044021353,112,-6.9,0.0,0.0
3911,ZINC000004027857,99,-6.8,3.757,8.754
5646,ZINC000307565252,142,-6.8,0.0,0.0
3214,112106,81,-6.8,0.0,0.0
