,time,Peq_decoy
0,0.0,114.724274
1,1.0,29.775879
2,2.0,9.811142
3,3.0,-87.656311
4,4.0,93.473862
5,5.0,-50.070107
6,6.0,-30.892921
7,7.0,5.041748
8,8.0,9.423767
9,9.0,19.09671
10,10.0,35.633163
11,11.0,-95.050018
12,12.0,87.900101
13,13.0,3.976974
14,14.0,-9.448853
15,15.0,40.531448
16,16.0,-39.474152
17,17.0,82.652039
18,18.0,13.446045
19,19.0,-40.50692
20,20.0,-20.822136
21,21.0,1.107651
22,22.0,50.046783
23,23.0,74.671249
24,24.0,-93.381714
25,25.0,-29.25676
26,26.0,-68.839012
27,27.0,7.62233
28,28.0,24.164047
29,29.0,21.326233
30,30.0,59.804291
31,31.0,4.735275
32,32.0,38.404724
33,33.0,82.190964
34,34.0,-19.737946
35,35.0,31.453171
36,36.0,35.77356
37,37.0,58.088318
38,38.0,-10.78299
39,39.0,56.377777
40,40.0,-86.700714
41,41.0,-22.020081
42,42.0,-44.83564
43,43.0,-9.890427
44,44.0,28.578125
45,45.0,39.430908
46,46.0,-17.016251
47,47.0,16.387131
48,48.0,45.516388
49,49.0,-91.271103
50,50.0,-25.177727
51,51.0,17.971664
52,52.0,80.981812
53,53.0,-52.46067
54,54.0,19.626083
55,55.0,-61.210884
56,56.0,15.223663
57,57.0,50.296738
58,58.0,-21.314117
59,59.0,55.792587
60,60.0,-1.244293
61,61.0,-1.653305
62,62.0,26.14119
63,63.0,-23.20076
64,64.0,2.872467
65,65.0,56.765244
66,66.0,-32.391525
67,67.0,-22.362526
68,68.0,-14.233231
69,69.0,-47.956909
70,70.0,61.887314
71,71.0,-73.940102
72,72.0,67.401703
73,73.0,29.077164
74,74.0,20.844559
75,75.0,78.156601
76,76.0,2.754517
77,77.0,11.78064
78,78.0,70.329102
79,79.0,-96.496078
80,80.0,66.220261
81,81.0,-31.312019
82,82.0,-48.342674
83,83.0,-13.507034
84,84.0,-72.453308
85,85.0,63.972504
86,86.0,-82.340096
87,87.0,-58.026703
88,88.0,55.696533
89,89.0,73.633881
90,90.0,28.367233
91,91.0,-31.060677
92,92.0,107.040787
93,93.0,29.141037
94,94.0,10.569382
95,95.0,-14.856125
96,96.0,-7.621964
97,97.0,37.387802
98,98.0,6.950424
99,99.0,22.949738
100,100.0,55.364899
