,Label,Molecule,Index,Score,Aromatic,Hydrophobic,Donors,Aceptors,Negatives
417,ZINC000257347639,140,0,29.4428,0.9200879999999999,0.736071,0.613392,2.26483,1.40204
362,ZINC000101136391,121,1,25.7445,1.35497,1.07269,0.887742,2.34041,1.60903
423,ZINC000307565252,142,2,25.7535,1.11972,0.953833,0.830758,1.9810400000000001,1.51491
463,ZINC000616591357,155,3,25.7408,1.11916,0.9193129999999999,0.7800229999999999,2.34007,1.6088
321,ZINC000019893747,108,4,25.7658,1.03063,0.7807810000000001,0.628434,1.8404099999999999,1.17117
299,ZINC000004027859,100,5,25.7516,1.1705299999999998,1.03007,0.919701,2.14597,1.71678
259,82398,87,6,25.7513,1.07297,0.830686,0.677665,2.14594,1.35533
437,ZINC000575124622,146,7,25.7488,1.11951,0.9536600000000001,0.830607,2.14574,1.6093
341,ZINC000077269504,114,8,25.7501,1.17046,1.03,0.919645,2.14584,1.7166700000000001
415,ZINC000257347638,139,9,25.7522,0.804757,0.6603140000000001,0.5598310000000001,1.83945,1.2263
389,ZINC000106382957,130,10,25.7594,1.11998,0.8882559999999999,0.735984,1.8399599999999998,1.28797
15,76325328,6,11,25.7537,0.7358210000000001,0.6281399999999999,0.547952,1.28769,0.9905290000000001
7,118707521,3,12,25.7606,0.736017,0.628307,0.5480970000000001,1.28803,0.990792
267,29327,90,13,22.0973,1.22763,1.05225,0.9207209999999999,1.6997900000000001,1.3810799999999999
261,82313,88,14,22.0969,1.4731299999999998,1.163,0.960736,1.8414099999999998,1.38106
71,44630437,24,15,22.0969,1.38106,1.16299,1.0044,1.57835,1.29982
141,5284365,48,16,22.0965,1.10483,0.883861,0.73655,1.84138,1.29979
158,2733335,53,17,22.0962,1.22757,0.9607049999999999,0.789151,1.47308,1.10481
107,12600646,36,19,22.095,1.10475,0.8838020000000001,0.7365010000000001,1.84125,1.2997100000000001
122,7067772,41,20,22.0868,1.22704,0.9602940000000001,0.788813,1.47245,1.1043399999999999
44,51351654,15,21,22.0914,1.38071,1.10457,0.920474,1.84095,1.38071
249,96523,84,23,22.0973,1.3810799999999999,1.10486,0.9207190000000001,1.6997900000000001,1.2998399999999999
329,ZINC000032106887,110,24,22.0715,1.00325,0.848902,0.735715,2.45238,1.6978
87,25243937,30,26,22.0963,1.16296,0.88385,0.7127829999999999,1.84135,1.22757
47,49859685,16,27,22.0813,1.16218,0.920056,0.761426,1.6985599999999998,1.22674
325,ZINC000019898298,109,28,22.0869,1.05176,0.8494950000000001,0.71248,1.6989900000000002,1.22705
300,ZINC000012364260,101,29,22.0779,1.0035399999999999,0.883116,0.788496,1.83982,1.47186
215,254124,72,31,22.0746,1.37966,1.0511700000000002,0.849024,1.83955,1.29851
85,25243963,29,32,22.0735,1.1617600000000001,0.9197280000000001,0.761154,1.69796,1.2263
234,122253,79,33,22.0621,1.00282,0.760763,0.612837,1.8385099999999999,1.16117
331,ZINC000032106889,111,34,22.0673,1.00306,0.848742,0.735576,2.45192,1.6974799999999999
393,ZINC000106384102,132,35,22.0706,1.00321,0.81743,0.689706,1.47137,1.10353
335,ZINC000044021353,112,36,22.0789,1.05138,0.849189,0.7122229999999999,1.69838,1.22661
410,ZINC000257346492,137,40,22.073,0.9596969999999999,0.788323,0.66888,2.2073,1.47154
244,102416,82,46,22.0711,0.919631,0.711972,0.58082,1.83926,1.16164
347,ZINC000100342293,116,47,22.0805,1.05145,0.849251,0.712275,1.6985,1.2267
137,5462244,46,48,22.0965,1.10483,0.81839,0.649898,1.4731,1.00439
132,6323218,45,49,22.0823,1.1041100000000001,0.817862,0.649478,1.47215,1.0037399999999999
152,2801971,51,50,22.0749,1.0034100000000001,0.788391,0.649263,1.69807,1.16184
204,433580,69,51,22.0781,1.29871,1.00355,0.817708,1.57701,1.16201
400,ZINC000196304985,134,52,22.0726,1.37954,1.1036299999999999,0.91969,1.6978900000000001,1.29839
24,57339290,9,53,22.0776,0.959895,0.689925,0.538478,1.2986799999999998,0.849138
303,ZINC000013545464,102,55,22.0745,1.0511700000000002,0.8490209999999999,0.712082,1.6980400000000002,1.2263600000000001
238,118328,80,56,22.0709,0.817441,0.668816,0.565921,1.29829,0.9596049999999999
55,45934204,19,58,22.0785,1.10392,0.849173,0.6899529999999999,1.37991,1.00357
413,ZINC000257346903,138,61,22.0867,0.8494870000000001,0.649608,0.5258729999999999,1.47244,0.960289
355,ZINC000101073479,119,66,22.0688,1.0509,0.848801,0.7118979999999999,1.6976,1.22605
352,ZINC000100815672,118,67,22.0725,0.882898,0.689764,0.56596,1.8393700000000002,1.16171
99,16738680,34,68,22.0796,1.10398,0.817764,0.649401,1.4719799999999998,1.0036200000000002
371,ZINC000102205030,124,69,22.0794,1.1039700000000001,0.788551,0.613317,1.83995,1.1039700000000001
283,899,95,70,22.0825,1.4721600000000001,1.2268,1.05155,1.69865,1.38015
357,ZINC000101135603,120,71,22.0753,0.7612180000000001,0.5809300000000001,0.469688,1.6981,1.00342
444,ZINC000616582683,149,74,22.073,1.22628,0.919709,0.7357670000000001,1.69792,1.16174
242,112106,81,75,22.0762,0.8830459999999999,0.735872,0.6307470000000001,1.57687,1.1619
350,ZINC000100656214,117,79,22.0801,1.0036399999999999,0.788576,0.649416,1.6984700000000001,1.16211
145,4282259,49,80,22.075,1.05119,0.849039,0.712097,1.69808,1.2263899999999999
376,ZINC000102974493,126,81,22.0739,1.00336,0.817554,0.689811,1.6980000000000002,1.22633
154,2733787,52,86,22.0712,0.8174520000000001,0.668824,0.565928,1.29831,0.959617
93,24779679,32,87,22.0906,1.05193,0.761744,0.597043,1.38066,0.920441
40,52944903,14,89,22.0724,0.649189,0.479835,0.38055900000000004,1.5766,0.8489389999999999
292,ZINC000003956714,98,91,22.0729,1.0033100000000001,0.7883180000000001,0.649203,1.69792,1.16173
385,ZINC000106382931,129,93,22.0658,1.00299,0.8172510000000001,0.689555,1.69737,1.2258799999999999
311,ZINC000015205840,104,96,22.0677,0.919488,0.711861,0.580729,1.8389799999999998,1.16146
102,12917651,35,97,22.0728,1.10364,0.848952,0.689774,1.37955,1.0033100000000001
368,ZINC000101361998,123,99,22.0728,0.761131,0.580863,0.469634,1.57663,0.9596870000000001
307,ZINC000015205814,103,100,22.0769,0.9198700000000001,0.735896,0.613246,1.69822,1.16194
74,44341508,25,101,22.0774,0.817681,0.6690119999999999,0.566087,1.37984,1.00352
407,ZINC000257346145,136,102,22.0732,1.0033299999999998,0.8489700000000001,0.7357739999999999,2.0066599999999997,1.47155
390,ZINC000106382965,131,110,22.0767,0.959858,0.761266,0.630764,1.57691,1.10384
289,ZINC000001471333,97,112,22.0765,1.00348,0.8176479999999999,0.689891,1.47177,1.1038299999999999
36,52944904,13,113,22.0761,0.630746,0.45991899999999997,0.36190300000000003,1.47174,0.7884329999999999
229,129618,77,114,22.0704,0.7882279999999999,0.565908,0.44140799999999997,1.3794,0.817422
224,198514,75,118,22.0787,0.788525,0.551968,0.424591,1.37992,0.788525
35,52948856,12,126,22.0677,0.6129899999999999,0.441353,0.34480700000000003,1.47118,0.760954
201,439174,68,129,18.4137,1.22758,1.02299,0.8768450000000001,1.41644,1.15086
199,439213,67,130,18.4127,1.53439,1.3151899999999999,1.1508,1.67388,1.41636
66,45266741,23,131,18.4125,1.53437,1.31518,1.15078,1.67386,1.41634
29,54758653,10,135,18.407,0.9687870000000001,0.736278,0.593773,1.53391,1.02261
108,12302999,37,136,18.4,1.5333299999999999,1.31428,1.15,1.67272,1.4153799999999999
174,445621,59,137,18.3998,1.53331,1.31427,1.14999,1.67271,1.41537
2,134695375,1,138,18.4132,1.02295,0.876818,0.767215,1.4164,1.1508200000000002
75,44229083,26,139,18.4109,0.968993,0.767119,0.634857,1.41622,1.02283
256,84265,86,140,18.416,1.22774,0.9692649999999999,0.800697,1.53467,1.151
264,35717,89,142,18.4156,1.22771,0.9692430000000001,0.800679,1.53464,1.15098
49,49802606,17,143,18.4152,1.0230700000000001,0.8370559999999999,0.708278,1.5346,1.15095
125,6971258,42,145,18.3987,1.22658,0.968352,0.7999430000000001,1.53322,1.14992
225,193108,76,146,18.3978,1.14986,0.876086,0.707608,1.6725299999999999,1.14986
190,440235,64,148,18.4175,0.969342,0.7673949999999999,0.6350859999999999,1.4167299999999998,1.02319
10,91820057,4,150,18.4157,0.969247,0.767321,0.635024,1.41659,1.02309
169,447448,57,151,18.4055,1.0826799999999999,0.876452,0.73622,1.2270299999999998,0.9687100000000001
81,42612215,28,158,18.4025,1.02236,0.800108,0.6572319999999999,1.4155799999999998,1.02236
78,44119773,27,159,18.4083,1.22722,0.968858,0.800361,1.5340200000000002,1.15052
160,644170,54,161,18.4047,1.22698,1.02249,0.876416,1.41575,1.1503
115,11096158,39,162,18.402,1.2268,1.02233,0.876286,1.41554,1.1501299999999999
179,441477,60,164,18.3946,1.5328899999999999,1.3139,1.1496600000000001,1.6722400000000002,1.41497
32,54758613,11,168,18.4001,0.968426,0.76667,0.634486,1.41539,1.02223
186,440271,63,169,18.3951,0.9681639999999999,0.735804,0.593391,1.53293,1.02195
275,24139,92,171,18.4006,1.2267,1.02225,0.876218,1.41543,1.15004
460,ZINC000616589990,154,176,18.4002,1.22668,0.9684290000000001,0.800007,1.53335,1.15001
165,448882,56,181,18.4043,1.1502700000000001,0.876396,0.707858,1.53369,1.08261
171,446101,58,185,18.3944,0.968125,0.735775,0.593367,1.5328600000000001,1.02191
438,ZINC000575124647,147,186,18.3974,1.0220799999999999,0.735895,0.574918,1.4151799999999999,0.919869
196,439281,66,187,18.4053,1.22702,1.02252,0.876445,1.4158,1.1503299999999999
184,440552,62,190,18.3952,1.22634,0.968167,0.79979,1.53293,1.1497
5,129878031,2,191,18.4059,1.0827,0.8366319999999999,0.6817,1.22706,0.9202950000000001
429,ZINC000394934764,144,192,18.4134,1.22756,0.969126,0.800582,1.8413400000000002,1.31524
60,45357367,21,196,18.4045,1.02247,0.8764040000000001,0.766853,1.41573,1.15028
96,22833605,33,198,18.4007,1.0824,0.836398,0.681509,1.31434,0.96846
442,ZINC000616582453,148,204,18.4023,0.8763,0.61341,0.471854,1.08249,0.70778
343,ZINC000082114392,115,207,18.413,1.41639,1.1508200000000002,0.9691069999999999,1.6739099999999998,1.31522
51,46174147,18,208,18.4059,1.02255,0.800257,0.657354,1.31471,0.9687319999999999
113,11908605,38,217,18.3992,1.22661,1.0221799999999999,0.8761530000000001,1.4153200000000001,1.14995
128,6713972,43,226,18.394000000000002,1.02189,0.8759049999999999,0.766417,1.31386,1.082
22,57339292,8,233,18.406,0.920298,0.681702,0.541352,1.1503700000000001,0.800259
90,24847493,31,234,18.3992,0.9199620000000001,0.735969,0.613308,1.5332700000000001,1.08231
434,ZINC000396869768,145,240,18.4018,1.22679,0.920091,0.736073,1.6728900000000002,1.15011
338,ZINC000056871016,113,244,18.4023,1.15014,0.920113,0.7667609999999999,1.41556,1.08249
119,9816401,40,245,18.4003,1.08237,0.8363780000000001,0.681493,1.31431,0.9684370000000001
279,5300,94,246,18.3992,1.0221799999999999,0.87615,0.7666310000000001,1.4153200000000001,1.14995
218,202260,73,248,18.3984,0.766601,0.54113,0.418146,1.22656,0.735937
426,ZINC000383920275,143,252,18.3893,1.22595,1.02163,0.8756790000000001,1.83893,1.41456
254,90220,85,254,18.4061,0.766922,0.613538,0.511281,1.4158600000000001,0.968744
314,ZINC000015205946,105,255,18.4019,0.7667470000000001,0.613397,0.5111640000000001,1.41553,0.9685219999999999
316,ZINC000015205949,106,258,18.3944,0.766432,0.613146,0.510955,1.41495,0.968125
454,ZINC000616583702,152,261,18.4023,0.920117,0.657226,0.5111760000000001,1.15015,0.766764
129,6420074,44,262,18.3974,1.0220799999999999,0.876065,0.7665569999999999,1.3141,1.0822
381,ZINC000106381125,128,263,18.3961,0.9198069999999999,0.681339,0.541063,1.22641,0.836189
294,ZINC000004027857,99,269,18.3891,0.8358690000000001,0.707274,0.61297,1.6717400000000002,1.22594
180,441038,61,272,18.3948,1.08204,0.836125,0.681287,1.3139100000000001,0.968145
319,ZINC000015205956,107,273,18.3956,0.87598,0.7075229999999999,0.593406,1.41505,1.0219799999999999
448,ZINC000616582813,150,275,18.4003,1.08237,0.8000149999999999,0.634495,1.53336,1.02224
365,ZINC000101178654,122,277,18.4025,1.02236,0.800109,0.6572319999999999,1.31446,0.9685530000000001
12,90659182,5,281,18.4048,1.02249,0.766868,0.613495,1.4157600000000001,0.968676
398,ZINC000164373873,133,282,18.4039,1.41569,1.15025,0.9686290000000001,1.6730900000000002,1.31457
450,ZINC000616582904,151,284,18.3994,1.02219,0.76664,0.613312,1.41533,0.9683870000000001
219,198515,74,300,18.3985,0.657089,0.448744,0.340713,1.2265700000000002,0.657089
246,99461,83,335,18.4128,0.681956,0.47212299999999996,0.361035,1.1508,0.6576
458,ZINC000616583781,153,338,18.4023,0.968543,0.707781,0.557646,1.22682,0.836469
148,3052142,50,340,18.404,0.657287,0.47189799999999993,0.36808,1.15025,0.681631
372,ZINC000102863660,125,354,18.3973,0.968277,0.7358899999999999,0.59346,1.31409,0.9198629999999999
65,45266822,22,356,18.4031,0.736123,0.525802,0.408957,1.15019,0.70781
209,408523,70,359,18.3985,0.7666029999999999,0.541132,0.41814700000000005,1.2265700000000002,0.735939
232,127132,78,372,18.414,0.682,0.484579,0.375796,1.08318,0.657643
211,312829,71,375,18.4062,0.681712,0.484375,0.375637,1.0827200000000001,0.657365
404,ZINC000252694384,135,381,18.3963,0.799838,0.541067,0.408806,0.968224,0.613209
286,739,96,385,14.7278,1.22732,1.05199,0.9204899999999999,1.33889,1.13291
164,449462,55,386,14.7235,1.22696,1.05168,0.920216,1.3385,1.13257
272,24154,91,387,14.7205,1.2267,1.05146,0.9200280000000001,1.33822,1.13234
138,5317448,47,392,14.7321,1.22767,1.05229,0.9207549999999999,1.33928,1.13324
193,440049,65,393,14.7241,1.22701,1.05172,0.920259,1.33856,1.13263
276,18897,93,394,14.7268,1.2272399999999999,1.05192,0.920427,1.3388,1.13283
379,ZINC000105341667,127,404,14.7184,1.13219,0.919902,0.774654,1.33804,1.05132
58,45933887,20,411,14.7265,1.2272100000000001,1.0519,0.920409,1.3387799999999999,1.13281
420,ZINC000307008534,141,414,14.7235,1.05168,0.817973,0.669251,1.22696,0.92022
18,57376616,7,436,14.7265,0.981768,0.77508,0.640284,1.2272100000000001,0.920408
