IC50 (uM);IC50 (M)
6,30E+00;6,30E-06
1,60E+01;1,60E-05
3,20E+00;3,20E-06
7,90E-01;7,90E-07
1,60E+01;1,60E-05
2,00E+00;2,00E-06
7,90E-01;7,90E-07
2,50E-02;2,50E-08
2,00E+00;2,00E-06
3,20E+00;3,20E-06
1,00E+01;1,00E-05
7,90E+00;7,90E-06
1,00E+00;1,00E-06
1,00E-01;1,00E-07
3,20E-01;3,20E-07
2,50E-02;2,50E-08
1,00E-01;1,00E-07
1,30E-01;1,30E-07
5,00E-02;5,00E-08
6,30E-01;6,30E-07
1,00E-02;1,00E-08
4,00E-02;4,00E-08
1,30E-01;1,30E-07
2,50E-02;2,50E-08
7,90E-03;7,90E-09
5,00E-02;5,00E-08
1,30E-01;1,30E-07
